Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 3 Quartos à Venda, 73m²  ","Rua Dona Cidinha Stussi - Santa Amélia, Belo Horizonte - MG",73,   R$ 355.000   ,3,2,1
"  Apartamento com 3 Quartos à Venda, 95m²  ","Rua Cláudio Manoel, 622 - Funcionários, Belo Horizonte - MG",95,   R$ 1.035.500   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 100m²  ","Rua Gonçalves Dias - Funcionários, Belo Horizonte - MG",100,   R$ 895.000   ,3,2,2
"  Apartamento com 4 Quartos à Venda, 150m²  ","Avenida dos Bandeirantes, 135 - Sion, Belo Horizonte - MG",150,   R$ 1.990.000   ,4,4,3
"  Apartamento com 3 Quartos à Venda, 95m²  ","Rua Cássia, 332 - Prado, Belo Horizonte - MG",95,   R$ 380.000   ,3,3,1
"  Apartamento com 3 Quartos à Venda, 120m²  ","Rua Equador, 264 - São Pedro, Belo Horizonte - MG",120,   R$ 663.000   ,3,2,1
"  Apartamento com 3 Quartos à Venda, 110m²  ","Rua Pires da Mota - Madre Gertrudes, Belo Horizonte - MG",110,   R$ 299.000   ,3,2,1
"  Apartamento com 3 Quartos à Venda, 96m²  ","Sion, Belo Horizonte - MG",96,   R$ 650.000   ,3,2,2
"  Apartamento com 2 Quartos à Venda, 59m²  ","Rua Conde de Monte Cristo, 215 - Ipiranga, Belo Horizonte - MG",59,   R$ 275.000   ,2,1,1
"  Apartamento com 4 Quartos à Venda, 192m²  ","Rua Gonçalves Dias, 1581 - Lourdes, Belo Horizonte - MG",192,   R$ 1.197.000   ,4,3,2
"  Apartamento com 3 Quartos à Venda, 98m²  ","Rua Bonaparte - Padre Eustáquio, Belo Horizonte - MG",98,   R$ 549.990   ,3,3,2
"  Apartamento com 2 Quartos à Venda, 100m²  ","Rua Carvalho de Almeida - Cidade Jardim, Belo Horizonte - MG",100,   R$ 530.000   ,2,2,  --     
"  Apartamento com 3 Quartos à Venda, 92m²  ","Rua Sebastião Possada Bravo - Santa Rosa, Belo Horizonte - MG",92,   R$ 320.000   ,3,2,2
"  Apartamento com 2 Quartos à Venda, 68m²  ","Rua Belém, 116 - Pompéia, Belo Horizonte - MG",68,   R$ 275.000   ,2,2,1
"  Apartamento com 3 Quartos à Venda, 70m²  ","Rua Niquelina, 289 - Santa Efigênia, Belo Horizonte - MG",70,   R$ 395.000   ,3,2,1
"  Apartamento com 2 Quartos à Venda, 50m²  ","Rua Santo Antônio - São João Batista (Venda Nova), Belo Horizonte - MG",50,   R$ 155.000   ,2,1,1
"  Apartamento com 4 Quartos à Venda, 758m²  ","Rua Pium-I - Cruzeiro, Belo Horizonte - MG",758,   R$ 7.800.000   ,4,9,6
"  Apartamento com 2 Quartos à Venda, 51m²  ","Rua Doutor Fernando Scarpelli, 49 - Castelo, Belo Horizonte - MG",51,   R$ 215.000   ,2,1,1
"  Apartamento com 3 Quartos à Venda, 63m²  ","Rua Carmelita Faria Garofalo, 30 - Palmares, Belo Horizonte - MG",63,   R$ 310.000   ,3,2,1
"  Apartamento com 3 Quartos à Venda, 110m²  ","Rua Padre Rodrigues, 63 - Itapoã, Belo Horizonte - MG",110,   R$ 740.000   ,3,3,3
