Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 3 Quartos à Venda, 134m²  ","Avenida Lineu de Paula Machado, 90 - Lagoa, Rio de Janeiro - RJ", 134 ,   R$ 2.200.000   ,  3     ,3,  2     
"  Apartamento com 4 Quartos à Venda, 180m²  ","Rua Marquês de São Vicente, 512 - Gávea, Rio de Janeiro - RJ", 180 ,   R$ 1.350.000   ,  4     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 47m²  ","Rua Dona Mariana, 176 - Botafogo, Rio de Janeiro - RJ", 47 ,   R$ 565.000   ,  2     ,1,  --     
"  Apartamento com 3 Quartos à Venda, 118m²  ","Rua General Urquiza - Leblon, Rio de Janeiro - RJ", 118 ,   R$ 3.600.000   ,  3     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 78m²  ","Avenida Lúcio Costa, 6500 - Barra da Tijuca, Rio de Janeiro - RJ", 78 ,   R$ 994.000   ,  2     ,3,  1     
"  Apartamento com 4 Quartos à Venda, 127m²  ","Rua Homem de Melo, 347 - Tijuca, Rio de Janeiro - RJ", 127 ,   R$ 790.000   ,  4     ,4,  2     
"  Apartamento com 3 Quartos à Venda, 100m²  ","Rua Jornalista Henrique Cordeiro, 350 - Barra da Tijuca, Rio de Janeiro - RJ", 100 ,   R$ 1.380.000   ,  3     ,3,  2     
"  Apartamento com 3 Quartos à Venda, 120m²  ","Rua General Ribeiro da Costa, 2 - Leme, Rio de Janeiro - RJ", 120 ,   R$ 1.900.000   ,  3     ,3,  2     
"  Apartamento com 3 Quartos à Venda, 120m²  ","Rua Marechal Mascarenhas de Morais, 132 - Copacabana, Rio de Janeiro - RJ", 120 ,   R$ 1.450.000   ,  3     ,3,  1     
"  Apartamento com 3 Quartos à Venda, 125m²  ","Rua Vice-Governador Rúbens Berardo, 125 - Gávea, Rio de Janeiro - RJ", 125 ,   R$ 1.800.000   ,  3     ,3,  2     
"  Apartamento com 3 Quartos à Venda, 76m²  ","Rua Francisco de Paula, 526 - Jacarepaguá, Rio de Janeiro - RJ", 76 ,   R$ 395.000   ,  3     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 108m²  ","Rua Marquês de Olinda, 38 - Botafogo, Rio de Janeiro - RJ", 108 ,   R$ 1.950.000   ,  3     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 60m²  ","Avenida Monsenhor Félix, 1077 - Irajá, Rio de Janeiro - RJ", 60 ,   R$ 187.000   ,  2     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 62m²  ","Rua Ministro João Alberto, 100 - Jardim Botânico, Rio de Janeiro - RJ", 62 ,   R$ 1.250.000   ,  2     ,2,  --     
"  Apartamento com 4 Quartos à Venda, 200m²  ","Rua Redentor - Ipanema, Rio de Janeiro - RJ", 200 ,   R$ 5.200.000   ,  4     ,4,  1     
"  Apartamento com  Quarto à Venda, 70m²  ","Rua Visconde de Pirajá, 66 - Ipanema, Rio de Janeiro - RJ", 70 ,   R$ 1.390.000   ,  1     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 68m²  ","Avenida Monsenhor Félix, 821 - Irajá, Rio de Janeiro - RJ", 68 ,   R$ 470.000   ,  3     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 140m²  ","Rua Prudente de Morais, 710 - Ipanema, Rio de Janeiro - RJ", 140 ,   R$ 3.900.000   ,  3     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 117m²  ","Estrada do Bananal, 74 - Freguesia (Jacarepaguá), Rio de Janeiro - RJ", 117 ,   R$ 1.085.000   ,  3     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 78m²  ","Avenida Cláudio Besserman Vianna, 3 - Jacarepaguá, Rio de Janeiro - RJ", 78 ,   R$ 340.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 121m²  ","Avenida das Acácias da Península, 60 - Barra da Tijuca, Rio de Janeiro - RJ", 121 ,   R$ 1.370.000   ,  3     ,3,  2     
"  Apartamento com 4 Quartos à Venda, 127m²  ","Avenida Epitácio Pessoa, 4344 - Lagoa, Rio de Janeiro - RJ", 127 ,   R$ 2.320.000   ,  4     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 79m²  ","Rua Sorocaba, 518 - Botafogo, Rio de Janeiro - RJ", 79 ,   R$ 1.100.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 115m²  ","Rua Visconde de Pirajá, 221 - Ipanema, Rio de Janeiro - RJ", 115 ,   R$ 1.750.000   ,  3     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 208m²  ","Avenida Rui Barbosa, 624 - Flamengo, Rio de Janeiro - RJ", 208 ,   R$ 2.550.000   ,  3     ,5,  1     
"  Apartamento com 2 Quartos à Venda, 98m²  ","Avenida das Acácias da Península, 60 - Barra da Tijuca, Rio de Janeiro - RJ", 98 ,   R$ 880.000   ,  2     ,3,  1     
"  Apartamento com 3 Quartos à Venda, 160m²  ","Barra da Tijuca, Rio de Janeiro - RJ", 160 ,   R$ 1.590.000   ,  3     ,4,  2     
"  Apartamento com 2 Quartos à Venda, 100m²  ","Rua Pedro de Carvalho - Lins de Vasconcelos, Rio de Janeiro - RJ", 100 ,   R$ 275.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 106m²  ","Rua Gurupi, 65 - Grajaú, Rio de Janeiro - RJ", 106 ,   R$ 450.000   ,  3     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 99m²  ","Rua Comandante Rúbens Silva, 596 - Freguesia (Jacarepaguá), Rio de Janeiro - RJ", 99 ,   R$ 535.000   ,  3     ,3,  2     
"  Apartamento com 3 Quartos à Venda, 76m²  ","Rua do Bispo, 191 - Rio Comprido, Rio de Janeiro - RJ", 76 ,   R$ 580.000   ,  3     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 72m²  ","Avenida Jaime Poggi, 99 - Jacarepaguá, Rio de Janeiro - RJ", 72 ,   R$ 430.000   ,  2     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 75m²  ","Rua Alfredo Ceschiatti, 105 - Jacarepaguá, Rio de Janeiro - RJ", 75 ,   R$ 515.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 75m²  ","Rua Le Corbusier, 50 - Recreio dos Bandeirantes, Rio de Janeiro - RJ", 75 ,   R$ 509.000   ,  3     ,2,  2     
"  Apartamento com  Quarto à Venda, 60m²  ","Rua Bolivar, 150 - Copacabana, Rio de Janeiro - RJ", 60 ,   R$ 710.000   ,  1     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 70m²  ","Rua do Humaitá, 229 - Humaitá, Rio de Janeiro - RJ", 70 ,   R$ 900.000   ,  2     ,2,  --     
"  Apartamento com 2 Quartos à Venda, 84m²  ","Rua Constante Ramos - Copacabana, Rio de Janeiro - RJ", 84 ,   R$ 880.000   ,  2     ,1,  --     
"  Apartamento com 3 Quartos à Venda, 151m²  ","Rua Joaquim Pinheiro - Freguesia (Jacarepaguá), Rio de Janeiro - RJ", 151 ,   R$ 980.000   ,  3     ,3,  2     
"  Apartamento com  Quarto à Venda, 55m²  ","Rua Teodoro da Silva, 820 - Vila Isabel, Rio de Janeiro - RJ", 55 ,   R$ 280.000   ,  1     ,1,  --     
