Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 3 Quartos à Venda, 132m²  ","Rua Pedro Chaves Barcelos, 1127 - Auxiliadora, Porto Alegre - RS",132,   R$ 1.270.000   ,3,4,2
"  Apartamento com 2 Quartos à Venda, 40m²  ","Avenida Francisco Silveira Bitencourt, 1818 - Sarandi, Porto Alegre - RS",40,   R$ 165.000   ,2,1,1
"  Apartamento com 2 Quartos à Venda, 71m²  ","Rua Guilherme Alves, 391 - Partenon, Porto Alegre - RS",71,   R$ 470.000   ,2,2,1
"  Apartamento com  Quarto à Venda, 40m²  ","Rua Moema, 625 - Chácara das Pedras, Porto Alegre - RS",40,   R$ 250.000   ,1,1,1
"  Apartamento com 2 Quartos à Venda, 80m²  ","Rua Adão Baino, 133 - Cristo Redentor, Porto Alegre - RS",80,   R$ 270.000   ,2,1,1
"  Apartamento com 3 Quartos à Venda, 150m²  ","Avenida Coronel Lucas de Oliveira - Bela Vista, Porto Alegre - RS",150,   R$ 920.000   ,3,3,2
"  Apartamento com 2 Quartos à Venda, 66m²  ","Avenida Bento Gonçalves - Partenon, Porto Alegre - RS",66,   R$ 320.000   ,2,2,1
"  Apartamento com 2 Quartos à Venda, 80m²  ","Rua Barão do Triunfo, 224 - Menino Deus, Porto Alegre - RS",80,   R$ 468.000   ,2,1,1
"  Apartamento com 2 Quartos à Venda, 70m²  ","Rua Anita Garibaldi, 1801 - Mont Serrat, Porto Alegre - RS",70,   R$ 815.000   ,2,3,1
"  Apartamento com 3 Quartos à Venda, 84m²  ","Avenida Grécia, 1050 - Passo da Areia, Porto Alegre - RS",84,   R$ 749.800   ,3,2,2
"  Apartamento com  Quarto à Venda, 50m²  ","Avenida Mariland, 1282 - Auxiliadora, Porto Alegre - RS",50,   R$ 445.000   ,1,1,1
"  Apartamento com 2 Quartos à Venda, 83m²  ","Rua Ramiro Barcelos, 1323 - Bom Fim, Porto Alegre - RS",83,   R$ 489.000   ,2,2,1
"  Apartamento com 2 Quartos à Venda, 63m²  ","Rua Aneron Corrêa de Oliveira, 159 - Jardim do Salso, Porto Alegre - RS",63,   R$ 491.000   ,2,2,1
"  Apartamento com 3 Quartos à Venda, 54m²  ","Avenida Baltazar de Oliveira Garcia, 1502 - Sarandi, Porto Alegre - RS",54,   R$ 190.000   ,3,1,1
"  Apartamento com 2 Quartos à Venda, 57m²  ","Bom Jesus, Porto Alegre - RS",57,   R$ 285.000   ,2,2,1
